ZIPCODE;DATETIME;MIN;MAX;COUNT;SUM
**80140-0;2016 W37;1.0;2.0;5.0;9.0
**80040-3;2016 W37;1.0;3.0;3.0;6.0
**80150-4;2016 W37;2.0;2.0;4.0;8.0
**80120-5;2016 W37;1.0;1.0;5.0;5.0
**80050-4;2016 W37;1.0;1.0;2.0;2.0
**80000-7;2016 W37;3.0;3.0;1.0;3.0
**80050-6;2016 W37;2.0;2.0;3.0;6.0
**80140-4;2016 W37;2.0;2.0;1.0;2.0
**80230-7;2016 W37;1.0;1.0;1.0;1.0
**80020-2;2016 W37;2.0;4.0;6.0;14.0
**80040-9;2016 W37;2.0;2.0;5.0;10.0
**80150-8;2016 W37;2.0;2.0;6.0;12.0
**80100-4;2016 W37;1.0;1.0;5.0;5.0
**80200-5;2016 W37;1.0;1.0;1.0;1.0
**80110-2;2016 W37;3.0;5.0;6.0;23.0
**80000-3;2016 W37;2.0;4.0;5.0;16.0
**80000-6;2016 W37;1.0;4.0;6.0;9.0
**80080-0;2016 W37;1.0;1.0;1.0;1.0
**80210-5;2016 W37;1.0;1.0;5.0;5.0
**80050-7;2016 W37;4.0;4.0;1.0;4.0
**80210-8;2016 W37;1.0;3.0;7.0;13.0
**80030-0;2016 W37;2.0;2.0;3.0;6.0
**80220-5;2016 W36;3.0;3.0;1.0;3.0
**80220-5;2016 W37;1.0;2.0;3.0;5.0
**80130-1;2016 W37;1.0;1.0;1.0;1.0
**80210-9;2016 W37;1.0;1.0;1.0;1.0
**80170-5;2016 W37;1.0;3.0;5.0;11.0
**80090-7;2016 W37;1.0;4.0;4.0;9.0
**80000-2;2016 W37;1.0;5.0;4.0;12.0
**80210-8;2016 W36;4.0;4.0;1.0;4.0
**80210-8;2016 W37;2.0;2.0;7.0;14.0
**80140-6;2016 W37;1.0;4.0;5.0;13.0
**80050-7;2016 W36;2.0;2.0;1.0;2.0
**80050-7;2016 W37;2.0;3.0;5.0;11.0
**80170-6;2016 W37;1.0;1.0;2.0;2.0
**80100-8;2016 W36;2.0;2.0;1.0;2.0
**80100-8;2016 W37;1.0;1.0;1.0;1.0
**80090-4;2016 W37;2.0;2.0;5.0;10.0
**80040-8;2016 W37;2.0;5.0;6.0;15.0
**80230-9;2016 W37;1.0;1.0;1.0;1.0
**80060-5;2016 W37;3.0;3.0;1.0;3.0
**80220-3;2016 W36;1.0;1.0;1.0;1.0
**80220-3;2016 W37;2.0;3.0;5.0;11.0
**80200-5;2016 W37;1.0;4.0;3.0;7.0
**80230-8;2016 W37;2.0;5.0;4.0;14.0
**80220-1;2016 W36;2.0;2.0;1.0;2.0
**80170-8;2016 W36;1.0;1.0;1.0;1.0
**80150-8;2016 W37;2.0;2.0;5.0;10.0
**80210-9;2016 W36;8.0;8.0;1.0;8.0
**80210-9;2016 W37;2.0;10.0;6.0;30.0
**80160-5;2016 W36;5.0;5.0;1.0;5.0
**80160-5;2016 W37;2.0;4.0;6.0;22.0
**80240-0;2016 W37;1.0;2.0;5.0;7.0
**80020-2;2016 W37;2.0;2.0;1.0;2.0
**80210-2;2016 W36;1.0;1.0;1.0;1.0
**80210-2;2016 W37;1.0;4.0;6.0;11.0
**80180-2;2016 W37;6.0;6.0;1.0;6.0
**80180-4;2016 W37;1.0;2.0;2.0;3.0
**80120-3;2016 W37;1.0;2.0;3.0;4.0
**80130-8;2016 W37;1.0;1.0;2.0;2.0
**80220-6;2016 W37;1.0;1.0;4.0;4.0
**80180-5;2016 W36;1.0;1.0;1.0;1.0
**80180-5;2016 W37;1.0;4.0;3.0;7.0
**80210-0;2016 W37;1.0;3.0;5.0;9.0
**80120-3;2016 W37;1.0;1.0;1.0;1.0
**80170-7;2016 W37;2.0;2.0;1.0;2.0
**80050-7;2016 W37;1.0;1.0;1.0;1.0
**80100-6;2016 W37;1.0;1.0;2.0;2.0
**80220-8;2016 W36;2.0;2.0;1.0;2.0
**80220-8;2016 W37;1.0;2.0;5.0;9.0
**80090-2;2016 W36;4.0;4.0;1.0;4.0
**80090-2;2016 W37;1.0;1.0;1.0;1.0
**80120-2;2016 W37;2.0;2.0;6.0;12.0
**80150-4;2016 W37;2.0;2.0;1.0;2.0
**80140-6;2016 W37;2.0;2.0;1.0;2.0
**80220-4;2016 W37;2.0;2.0;1.0;2.0
**80160-0;2016 W37;1.0;1.0;2.0;2.0
**80060-7;2016 W37;2.0;3.0;2.0;5.0
**80160-1;2016 W37;2.0;5.0;7.0;18.0
**80090-3;2016 W37;3.0;4.0;2.0;7.0
**80160-5;2016 W37;2.0;3.0;5.0;13.0
**80150-9;2016 W37;1.0;1.0;1.0;1.0
**80010-1;2016 W37;3.0;3.0;1.0;3.0
**80220-8;2016 W37;1.0;2.0;5.0;8.0
**80140-6;2016 W37;1.0;1.0;5.0;5.0
**80220-3;2016 W37;2.0;4.0;7.0;23.0
**80010-0;2016 W37;1.0;3.0;3.0;6.0
**80130-2;2016 W37;1.0;4.0;5.0;13.0
**80040-4;2016 W37;2.0;2.0;4.0;8.0
**80110-1;2016 W37;1.0;1.0;2.0;2.0
**80170-0;2016 W37;2.0;2.0;6.0;12.0
**80150-1;2016 W37;1.0;2.0;3.0;4.0
**80090-4;2016 W37;2.0;2.0;1.0;2.0
**80140-0;2016 W37;2.0;2.0;2.0;4.0
**80010-8;2016 W37;1.0;1.0;2.0;2.0
**80160-4;2016 W37;1.0;4.0;6.0;14.0
**80000-7;2016 W37;2.0;2.0;1.0;2.0
**80110-5;2016 W37;2.0;4.0;5.0;12.0
**80200-4;2016 W36;1.0;1.0;1.0;1.0
**80100-7;2016 W37;2.0;2.0;1.0;2.0
**80150-4;2016 W37;1.0;3.0;3.0;6.0
**80150-8;2016 W37;2.0;2.0;3.0;6.0
